method,grouping,dataset,depth,budget,n_pairs,until_mean,no_until_mean,mean_delta,median_delta,se_delta,win_rate,tie_rate,wilcoxon_p
stl_linear,by_dataset_depth,RacketSports,2.00000,,40,0.76659,0.73580,0.03080,0.02697,0.00684,0.70000,0.00000,0.00005
stl_linear,by_dataset_depth,RacketSports,3.00000,,40,0.76153,0.74924,0.01229,0.00742,0.00733,0.67500,0.02500,0.04741
stl_linear,by_dataset_depth,StandWalkJump,1.00000,,40,0.31333,0.31000,0.00333,0.00000,0.01546,0.25000,0.55000,0.70062
stl_linear,by_dataset_depth,StandWalkJump,2.00000,,38,0.30351,0.32281,-0.01930,0.00000,0.01548,0.15789,0.55263,0.23304
stl_linear,by_dataset_depth,StandWalkJump,3.00000,,38,0.27719,0.31404,-0.03684,0.00000,0.01523,0.15789,0.47368,0.04778
stl_linear,by_dataset_depth,UWaveGestureLibrary,1.00000,,40,0.80062,0.77805,0.02258,0.02188,0.00759,0.72500,0.02500,0.00101
stl_linear,by_dataset_depth,UWaveGestureLibrary,2.00000,,40,0.80242,0.77977,0.02266,0.02188,0.00665,0.72500,0.00000,0.00109
stl_linear,by_dataset_depth,UWaveGestureLibrary,3.00000,,40,0.79172,0.77531,0.01641,0.01562,0.00715,0.65000,0.02500,0.03598
stl_tree,overall,,,,1186,0.61187,0.61212,-0.00025,0.00000,0.00243,0.48651,0.04132,1.00000
stl_tree,by_depth,,1.00000,,397,0.61064,0.60861,0.00203,0.00000,0.00404,0.48111,0.03023,0.91142
stl_tree,by_depth,,2.00000,,395,0.61570,0.61398,0.00171,0.00021,0.00422,0.51139,0.05570,0.39103
stl_tree,by_depth,,3.00000,,394,0.60926,0.61379,-0.00453,0.00000,0.00438,0.46701,0.03807,0.35434
stl_tree,by_budget,,,10.00000,300,0.56359,0.55827,0.00531,0.00319,0.00549,0.52667,0.01667,0.36086
stl_tree,by_budget,,,100.00000,300,0.61548,0.62088,-0.00539,-0.00101,0.00469,0.44667,0.04667,0.35115
stl_tree,by_budget,,,1000.00000,300,0.63172,0.63535,-0.00363,0.00000,0.00493,0.48667,0.03667,0.54353
stl_tree,by_budget,,,10000.00000,286,0.63788,0.63505,0.00284,0.00000,0.00420,0.48601,0.06643,0.55275
stl_tree,by_dataset,BasicMotions,,,120,0.90146,0.90396,-0.00250,0.00000,0.00739,0.41667,0.17500,0.77095
stl_tree,by_dataset,Cricket,,,110,0.81313,0.80442,0.00871,0.01389,0.00742,0.53636,0.01818,0.33381
stl_tree,by_dataset,DuckDuckGeese,,,120,0.39417,0.41050,-0.01633,-0.02000,0.00694,0.38333,0.06667,0.02597
stl_tree,by_dataset,ERing,,,120,0.70549,0.69812,0.00738,0.01111,0.00941,0.55000,0.00833,0.39177
stl_tree,by_dataset,Epilepsy,,,120,0.77602,0.78587,-0.00985,-0.01474,0.00570,0.40000,0.00000,0.06334
stl_tree,by_dataset,HandMovementDirection,,,120,0.27387,0.28428,-0.01041,-0.01071,0.00667,0.44167,0.00000,0.12943
stl_tree,by_dataset,Heartbeat,,,120,0.61557,0.60617,0.00940,0.00981,0.00441,0.57500,0.00000,0.01627
stl_tree,by_dataset,RacketSports,,,120,0.68051,0.68142,-0.00092,0.00520,0.00505,0.54167,0.00000,0.94988
stl_tree,by_dataset,StandWalkJump,,,116,0.33851,0.33851,-0.00000,0.00000,0.01412,0.43966,0.13793,0.98235
stl_tree,by_dataset,UWaveGestureLibrary,,,120,0.62760,0.61487,0.01273,0.01563,0.00543,0.58333,0.00833,0.02215
stl_tree,by_dataset_depth,BasicMotions,1.00000,,40,0.88125,0.90562,-0.02438,-0.02500,0.01283,0.27500,0.17500,0.04148
stl_tree,by_dataset_depth,BasicMotions,2.00000,,40,0.91750,0.89937,0.01813,0.00000,0.01150,0.50000,0.22500,0.06204
stl_tree,by_dataset_depth,BasicMotions,3.00000,,40,0.90562,0.90687,-0.00125,0.00000,0.01343,0.47500,0.12500,0.80840
stl_tree,by_dataset_depth,Cricket,1.00000,,37,0.82470,0.80818,0.01652,0.01389,0.01256,0.54054,0.00000,0.32269
stl_tree,by_dataset_depth,Cricket,2.00000,,37,0.82057,0.79767,0.02290,0.01389,0.01261,0.64865,0.02703,0.07622
stl_tree,by_dataset_depth,Cricket,3.00000,,36,0.79360,0.80748,-0.01389,-0.02778,0.01293,0.41667,0.02778,0.29597
stl_tree,by_dataset_depth,DuckDuckGeese,1.00000,,40,0.41250,0.40700,0.00550,0.02000,0.01230,0.55000,0.05000,0.49293
stl_tree,by_dataset_depth,DuckDuckGeese,2.00000,,40,0.39550,0.42450,-0.02900,-0.02000,0.01226,0.37500,0.10000,0.04955
stl_tree,by_dataset_depth,DuckDuckGeese,3.00000,,40,0.37450,0.40000,-0.02550,-0.04000,0.01100,0.22500,0.05000,0.01636
stl_tree,by_dataset_depth,ERing,1.00000,,40,0.69546,0.69343,0.00204,0.00741,0.01365,0.55000,0.00000,0.77771
stl_tree,by_dataset_depth,ERing,2.00000,,40,0.70389,0.69963,0.00426,0.00370,0.01833,0.50000,0.02500,0.91436
stl_tree,by_dataset_depth,ERing,3.00000,,40,0.71713,0.70130,0.01583,0.02593,0.01689,0.60000,0.00000,0.29748
stl_tree,by_dataset_depth,Epilepsy,1.00000,,40,0.74910,0.75496,-0.00586,-0.00774,0.01009,0.42500,0.00000,0.58618
stl_tree,by_dataset_depth,Epilepsy,2.00000,,40,0.79600,0.79834,-0.00234,-0.00593,0.00930,0.42500,0.00000,0.64630
stl_tree,by_dataset_depth,Epilepsy,3.00000,,40,0.78297,0.80431,-0.02134,-0.02800,0.01018,0.35000,0.00000,0.04448
stl_tree,by_dataset_depth,HandMovementDirection,1.00000,,40,0.26604,0.28301,-0.01696,-0.01071,0.01100,0.40000,0.00000,0.23705
stl_tree,by_dataset_depth,HandMovementDirection,2.00000,,40,0.27967,0.27628,0.00339,0.00357,0.01201,0.52500,0.00000,0.81604
stl_tree,by_dataset_depth,HandMovementDirection,3.00000,,40,0.27589,0.29354,-0.01765,-0.01488,0.01162,0.40000,0.00000,0.12810
stl_tree,by_dataset_depth,Heartbeat,1.00000,,40,0.61002,0.61067,-0.00065,-0.00365,0.00775,0.40000,0.00000,0.77259
stl_tree,by_dataset_depth,Heartbeat,2.00000,,40,0.62258,0.61015,0.01243,0.01014,0.00629,0.67500,0.00000,0.02656
stl_tree,by_dataset_depth,Heartbeat,3.00000,,40,0.61411,0.59769,0.01642,0.02469,0.00861,0.65000,0.00000,0.03560
stl_tree,by_dataset_depth,RacketSports,1.00000,,40,0.68720,0.69046,-0.00326,0.00977,0.00924,0.55000,0.00000,0.91005
stl_tree,by_dataset_depth,RacketSports,2.00000,,40,0.67431,0.68244,-0.00812,-0.00459,0.00921,0.50000,0.00000,0.43581
stl_tree,by_dataset_depth,RacketSports,3.00000,,40,0.68001,0.67137,0.00864,0.00930,0.00772,0.57500,0.00000,0.39742
stl_tree,by_dataset_depth,StandWalkJump,1.00000,,40,0.36833,0.33000,0.03833,0.06667,0.02225,0.55000,0.05000,0.20238
stl_tree,by_dataset_depth,StandWalkJump,2.00000,,38,0.31754,0.34035,-0.02281,0.00000,0.02376,0.34211,0.18421,0.32555
stl_tree,by_dataset_depth,StandWalkJump,3.00000,,38,0.32807,0.34561,-0.01754,0.00000,0.02669,0.42105,0.18421,0.78203
stl_tree,by_dataset_depth,UWaveGestureLibrary,1.00000,,40,0.62789,0.61773,0.01016,0.01562,0.00882,0.57500,0.02500,0.28519
stl_tree,by_dataset_depth,UWaveGestureLibrary,2.00000,,40,0.62984,0.61117,0.01867,0.01875,0.00926,0.62500,0.00000,0.06455
stl_tree,by_dataset_depth,UWaveGestureLibrary,3.00000,,40,0.62508,0.61570,0.00938,0.01562,0.01027,0.55000,0.00000,0.26166
