class,formula,n_unique_locals,depth,coverage_train,fp_train,precision_train,f1_train,coverage_test,fp_test,precision_test,f1_test
standing,"( G[21,76](x_0 <= 1.3) )",1,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
running,"( F[1,14](x_0 <= -6.9) )",1,1,1.0,0.0,1.0,1.0,1.0,0.03333333333333333,0.9090909090909091,0.9523809523809523
walking,"( ( ( F[21,76](x_0 => 2.8) ) ∧ ( G[1,14](x_0 => -1.0) ) ) ∨ ( ( ( G[7,95](x_0 <= 19.9) ) ∧ (x_5 <= 0.0) ) ∧ ( F[21,76](x_0 => 2.8) ) ) )",2,4,0.8,0.2,0.5714285714285714,0.6666666666666666,0.8,0.16666666666666666,0.6153846153846154,0.6956521739130435
badminton,"( F[32,inf](x_4 <= -7.5) )",1,1,1.0,0.0,1.0,1.0,0.5,0.0,1.0,0.6666666666666666
