class,formula,n_unique_locals,depth,coverage_train,fp_train,precision_train,f1_train,coverage_test,fp_test,precision_test,f1_test
1.0,"( ( ( G[76,168](x_1 <= 1.0) ) ∧ ( ( F[27,40](x_2 <= -0.2) ) ∧ (x_0 <= -0.1) ) ) ∨ ( ( G[125,205]( F[81,inf](x_1 => 0.6) ) ) ∧ ( G[15,145]( F[25,127](x_2 => 0.9) ) ) ) )",3,4,1.0,0.01904761904761905,0.8823529411764706,0.9375,0.675,0.060714285714285714,0.6136363636363636,0.6428571428571429
2.0,"( ( ( F[39,184]( (x_1 <= -1.3) ∧ (x_0 <= -1.9) ) ) ∧ ( G[116,192]( F[3,39](x_0 => -0.4) ) ) ) ∨ ( ( F[99,132](x_1 <= -1.6) ) ∧ ( G( F[54,147](x_0 => 0.9) ) ) ) )",2,4,1.0,0.01904761904761905,0.8823529411764706,0.9375,0.825,0.017857142857142856,0.868421052631579,0.8461538461538461
3.0,"( ( ( ( G[249,inf](x_0 => -0.5) ) ∧ (x_1 <= -0.3) ) ∧ ( G( ( F[160,172](x_2 <= -1.4) ) ∨ (x_0 <= 0.3) ) ) ) ∨ ( ( G[181,inf](x_0 => -0.5) ) ∧ ( G[42,114](x_1 <= 0.6) ) ) )",3,5,0.8666666666666667,0.009523809523809525,0.9285714285714286,0.896551724137931,0.75,0.03214285714285714,0.7692307692307693,0.7594936708860761
4.0,"( ( G( (x_1 => -0.5) ∨ (x_2 => -0.7) ) ) ∨ ( ( F( G[54,147](x_0 <= -0.5) ) ) ∧ ( G[242,inf](x_0 <= -0.0) ) ) )",3,4,0.8,0.05714285714285714,0.6666666666666666,0.7272727272727272,0.725,0.11428571428571428,0.47540983606557374,0.5742574257425742
5.0,"( G[28,163](x_1 => -0.4) )",1,1,1.0,0.02857142857142857,0.8333333333333334,0.9090909090909091,0.825,0.08928571428571429,0.5689655172413793,0.6734693877551021
6.0,"( ( ( ( G( (x_2 <= -0.0) ∨ ( G(x_1 => -0.8) ) ) ) ∧ ( G( (x_2 <= 0.6) ∨ (x_1 => -0.0) ) ) ) ∨ ( ( G( (x_2 <= -0.0) ∨ ( G(x_1 => -0.8) ) ) ) ∧ ( G( (x_0 => -0.8) ∨ (x_1 => -0.4) ) ) ) ) ∨ ( ( F( G[33,88](x_2 => 1.0) ) ) ∧ ( G[89,inf]( (x_1 => -1.4) ∧ (x_2 => -1.3) ) ) ) )",4,6,0.8666666666666667,0.0380952380952381,0.7647058823529411,0.8125,0.875,0.05714285714285714,0.6862745098039216,0.7692307692307692
7.0,"( ( (x_0 => 0.3) ∧ ( G[77,78](x_0 <= -0.5) ) ) ∨ ( ( G[135,147](x_2 <= -0.9608) ) ∧ ( F[29,75](x_0 <= -1.2) ) ) )",2,3,1.0,0.06666666666666667,0.6818181818181818,0.8108108108108109,0.7,0.05,0.6666666666666666,0.6829268292682926
8.0,"( ( ( ( F[57,106](x_0 => 1.4) ) ∧ ( (x_2 => -0.3) ∧ ( G[264,inf](x_2 => -0.2) ) ) ) ∨ ( ( G[81,127](x_0 => 0.5) ) ∧ ( F( G[29,69](x_2 <= -1.3) ) ) ) ) ∨ ( ( F[152,inf]( (x_1 <= -1.5) ∧ (x_0 <= -1.3) ) ) ∧ ( F( (x_0 <= -0.2) ∧ ( F[25,36](x_1 => 1.9) ) ) ) ) )",5,5,0.8666666666666667,0.009523809523809525,0.9285714285714286,0.896551724137931,0.6,0.025,0.7741935483870968,0.676056338028169
