class,formula,n_unique_locals,depth,coverage_train,fp_train,precision_train,f1_train,coverage_test,fp_test,precision_test,f1_test
badminton_smash,"( ( ( ( ( F(x_5 => 11.8) ) ∨ ( F(x_4 <= -18.9) ) ) ∧ ( F[1,2](x_0 <= -0.4) ) ) ∨ ( ( F[14,19](x_5 => 3.8) ) ∧ ( G( (x_5 <= -7.0) ∨ (x_5 => -2.9) ) ) ) ) ∨ ( ( F[14,19](x_5 => 3.8) ) ∧ ( F[8,16](x_2 => 12.5) ) ) )",4,5,0.8717948717948718,0.05357142857142857,0.85,0.8607594936708861,0.6,0.13392857142857142,0.6153846153846154,0.6075949367088608
badminton_clear,"( ( ( ( ( ( F[10,12](x_5 => 3.3) ) ∧ ( G[1,2](x_0 => 0.9) ) ) ∨ ( ( F[4,9](x_0 <= -4.4) ) ∧ ( G(x_0 <= 8.1) ) ) ) ∨ ( ( F[10,12](x_5 => 3.3) ) ∧ ( G[8,12]( (x_4 => -1.2) ∨ (x_3 <= -3.3) ) ) ) ) ∨ ( ( G[17,18](x_2 => -1.5) ) ∧ ( G[4,7](x_1 <= 1.8) ) ) ) ∨ ( ( ( F[1,2](x_2 => 0.9) ) ∧ ( G( (x_5 <= -7.2) ∨ (x_5 => -2.7) ) ) ) ∧ ( G[8,12]( (x_4 => -1.2) ∨ (x_3 <= -3.3) ) ) ) )",7,6,0.9534883720930233,0.08333333333333333,0.82,0.8817204301075269,0.6511627906976745,0.1926605504587156,0.5714285714285714,0.6086956521739131
squash_forehandboast,"( ( F( G[4,6](x_5 <= -2.8) ) ) ∨ ( F[4,6](x_3 => 5.1) ) )",3,3,0.9714285714285714,0.11206896551724138,0.723404255319149,0.8292682926829269,0.8857142857142857,0.13675213675213677,0.6595744680851063,0.7560975609756098
squash_backhandboast,"( ( ( ( G( (x_5 <= 7.7) ∧ (x_0 <= 22.4) ) ) ∧ ( F( G[7,9](x_3 => 1.8) ) ) ) ∨ ( ( G(x_5 <= 7.7) ) ∧ ( F[0,1](x_5 => 1.3) ) ) ) ∨ ( ( F( G[7,9](x_3 => 1.8) ) ) ∧ ( F( G[7,12](x_1 => 1.0) ) ) ) )",4,5,1.0,0.05128205128205128,0.85,0.9189189189189189,0.9411764705882353,0.11016949152542373,0.7111111111111111,0.8101265822784811
